2021-09-21 22:25:33,235 INFO    MainThread:11547 [wandb_setup.py:_flush():69] setting env: {}
2021-09-21 22:25:33,236 INFO    MainThread:11547 [wandb_setup.py:_flush():69] setting login settings: {}
2021-09-21 22:25:33,236 INFO    MainThread:11547 [wandb_init.py:_log_setup():348] Logging user logs to /root/Source/Set-Tree/graphtree/wandb/run-20210921_222533-38umbcl3/logs/debug.log
2021-09-21 22:25:33,236 INFO    MainThread:11547 [wandb_init.py:_log_setup():349] Logging internal logs to /root/Source/Set-Tree/graphtree/wandb/run-20210921_222533-38umbcl3/logs/debug-internal.log
2021-09-21 22:25:33,237 INFO    MainThread:11547 [wandb_init.py:_jupyter_setup():300] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fc7bc06b5b0>
2021-09-21 22:25:33,237 INFO    MainThread:11547 [wandb_init.py:init():381] calling init triggers
2021-09-21 22:25:33,237 INFO    MainThread:11547 [wandb_init.py:init():386] wandb.init called with sweep_config: {}
config: {}
2021-09-21 22:25:33,237 INFO    MainThread:11547 [wandb_init.py:init():430] starting backend
2021-09-21 22:25:33,237 INFO    MainThread:11547 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-09-21 22:25:33,239 INFO    MainThread:11547 [backend.py:ensure_launched():135] starting backend process...
2021-09-21 22:25:33,244 INFO    MainThread:11547 [backend.py:ensure_launched():139] started backend process with pid: 12701
2021-09-21 22:25:33,246 INFO    MainThread:11547 [wandb_init.py:init():435] backend started and connected
2021-09-21 22:25:33,259 INFO    MainThread:11547 [wandb_run.py:_label_probe_notebook():819] probe notebook
2021-09-21 22:25:33,259 INFO    MainThread:11547 [wandb_run.py:_label_probe_notebook():826] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2021-09-21 22:25:33,259 INFO    MainThread:11547 [wandb_init.py:init():494] updated telemetry
2021-09-21 22:25:33,259 INFO    MainThread:11547 [wandb_init.py:init():517] communicating current version
2021-09-21 22:25:34,587 INFO    MainThread:11547 [wandb_init.py:init():522] got version response 
2021-09-21 22:25:34,587 INFO    MainThread:11547 [wandb_init.py:init():530] communicating run to backend with 30 second timeout
2021-09-21 22:25:35,093 INFO    MainThread:11547 [wandb_init.py:init():557] starting run threads in backend
2021-09-21 22:25:36,072 INFO    MainThread:11547 [wandb_run.py:_console_start():1605] atexit reg
2021-09-21 22:25:36,072 INFO    MainThread:11547 [wandb_run.py:_redirect():1479] redirect: SettingsConsole.WRAP
2021-09-21 22:25:36,072 INFO    MainThread:11547 [wandb_run.py:_redirect():1516] Wrapping output streams.
2021-09-21 22:25:36,074 INFO    MainThread:11547 [wandb_run.py:_redirect():1540] Redirects installed.
2021-09-21 22:25:36,074 INFO    MainThread:11547 [wandb_init.py:init():582] run started, returning control to user process
2021-09-21 22:28:03,781 INFO    MainThread:11547 [wandb_run.py:finish():1275] finishing run mlwell-rgb/Set-Tree-graphtree/38umbcl3
